"","H_CLEAN_LINEAR_SCORE_mean","H_COMP_1_LINEAR_SCORE_mean","H_COMP_2_LINEAR_SCORE_mean","H_COMP_3_LINEAR_SCORE_mean","H_COMP_4_LINEAR_SCORE_mean","H_COMP_5_LINEAR_SCORE_mean","H_COMP_6_LINEAR_SCORE_mean","H_COMP_7_LINEAR_SCORE_mean","H_HSP_RATING_LINEAR_SCORE_mean","H_QUIET_LINEAR_SCORE_mean","H_RECMND_LINEAR_SCORE_mean"
"H_CLEAN_LINEAR_SCORE_mean",1,0.705042390480732,0.551158585727822,0.720365772380025,0.639103688166743,0.64763844989194,0.466465955617696,0.657101748566531,0.639491463472608,0.494837268224314,0.560462790617323
"H_COMP_1_LINEAR_SCORE_mean",0.705042390480732,1,0.753509743229487,0.866456754135751,0.854806106664362,0.799880752402789,0.650127556880731,0.834552439408732,0.835298116497471,0.593770488966324,0.76548689918448
"H_COMP_2_LINEAR_SCORE_mean",0.551158585727822,0.753509743229487,1,0.688377579998184,0.709073728611742,0.712360946334827,0.522349427652601,0.710113732972373,0.726997280091931,0.633302896652927,0.637731446707894
"H_COMP_3_LINEAR_SCORE_mean",0.720365772380025,0.866456754135751,0.688377579998184,1,0.789098403242261,0.775158533521738,0.609354640918461,0.756937690168605,0.76253081045276,0.593064353411649,0.659821016382636
"H_COMP_4_LINEAR_SCORE_mean",0.639103688166743,0.854806106664362,0.709073728611742,0.789098403242261,1,0.733866873351227,0.579025989962974,0.774408407854935,0.785677066951674,0.559028980460538,0.72149467524023
"H_COMP_5_LINEAR_SCORE_mean",0.64763844989194,0.799880752402789,0.712360946334827,0.775158533521738,0.733866873351227,1,0.624072439302208,0.753133422016238,0.750784898851312,0.580269314410489,0.664601181642495
"H_COMP_6_LINEAR_SCORE_mean",0.466465955617696,0.650127556880731,0.522349427652601,0.609354640918461,0.579025989962974,0.624072439302208,1,0.674262526442761,0.649870039574732,0.368670308258841,0.602068280923451
"H_COMP_7_LINEAR_SCORE_mean",0.657101748566531,0.834552439408732,0.710113732972373,0.756937690168605,0.774408407854935,0.753133422016238,0.674262526442761,1,0.845089650461165,0.553278839803352,0.829269999713484
"H_HSP_RATING_LINEAR_SCORE_mean",0.639491463472608,0.835298116497471,0.726997280091931,0.76253081045276,0.785677066951674,0.750784898851312,0.649870039574732,0.845089650461165,1,0.640251186441266,0.927814129899216
"H_QUIET_LINEAR_SCORE_mean",0.494837268224314,0.593770488966324,0.633302896652927,0.593064353411649,0.559028980460538,0.580269314410489,0.368670308258841,0.553278839803352,0.640251186441266,1,0.497726385518867
"H_RECMND_LINEAR_SCORE_mean",0.560462790617323,0.76548689918448,0.637731446707894,0.659821016382636,0.72149467524023,0.664601181642495,0.602068280923451,0.829269999713484,0.927814129899216,0.497726385518867,1
