"","Provider.ID","Hospital.overall.rating"
"1",10001,"3"
"2",10005,"3"
"3",10006,"2"
"4",10007,"3"
"5",10008,"3"
"6",10011,"2"
"7",10012,"3"
"8",10016,"3"
"9",10018,"Not Available"
"10",10019,"2"
"11",10021,"4"
"12",10022,"3"
"13",10023,"3"
"14",10024,"3"
"15",10029,"4"
"16",10032,"4"
"17",10033,"3"
"18",10034,"4"
"19",10035,"3"
"20",10036,"3"
"21",10038,"3"
"22",10039,"3"
"23",10040,"2"
"24",10044,"5"
"25",10045,"4"
"26",10046,"3"
"27",10047,"3"
"28",10049,"3"
"29",10051,"3"
"30",10052,"3"
"31",10055,"4"
"32",10056,"3"
"33",10058,"Not Available"
"34",10059,"4"
"35",10061,"3"
"36",10062,"3"
"37",10065,"2"
"38",10069,"3"
"39",10073,"3"
"40",10078,"2"
"41",10079,"2"
"42",10083,"3"
"43",10085,"2"
"44",10086,"4"
"45",10087,"3"
"46",10089,"3"
"47",10090,"2"
"48",10091,"3"
"49",10092,"2"
"50",10095,"Not Available"
"51",10097,"3"
"52",10099,"2"
"53",10100,"4"
"54",10101,"3"
"55",10102,"Not Available"
"56",10103,"3"
"57",10104,"2"
"58",10108,"4"
"59",10109,"3"
"60",10110,"3"
"61",10112,"3"
"62",10113,"2"
"63",10114,"3"
"64",10118,"3"
"65",10120,"3"
"66",10125,"5"
"67",10126,"3"
"68",10128,"3"
"69",10129,"2"
"70",10130,"3"
"71",10131,"3"
"72",10138,"Not Available"
"73",10139,"3"
"74",10144,"2"
"75",10146,"3"
"76",10148,"3"
"77",10149,"5"
"78",10150,"3"
"79",10157,"3"
"80",10158,"3"
"81",10164,"3"
"82",10168,"4"
"83",10169,"4"
"84",11300,"Not Available"
"85",11302,"Not Available"
"86",11304,"Not Available"
"87",11305,"3"
"88",13300,"Not Available"
"89",13301,"Not Available"
"90",20001,"3"
"91",20006,"3"
"92",20008,"3"
"93",20012,"3"
"94",20017,"3"
"95",20018,"3"
"96",20026,"2"
"97",21303,"Not Available"
"98",21306,"Not Available"
"99",21308,"Not Available"
"100",21309,"Not Available"
"101",21310,"Not Available"
"102",21311,"3"
"103",30001,"2"
"104",30002,"3"
"105",30006,"3"
"106",30007,"4"
"107",30010,"3"
"108",30011,"3"
"109",30012,"2"
"110",30013,"2"
"111",30014,"3"
"112",30016,"2"
